iter	Passed	Remaining
438	1345	1719
439	1349	1717
440	1352	1713
441	1354	1709
442	1357	1707
443	1361	1704
444	1364	1701
445	1367	1698
446	1369	1694
447	1372	1691
448	1375	1687
449	1377	1683
450	1381	1681
451	1383	1677
452	1387	1674
453	1390	1671
454	1393	1668
455	1396	1666
456	1399	1663
457	1402	1660
458	1406	1658
459	1409	1655
460	1412	1651
461	1414	1647
462	1417	1644
463	1420	1641
464	1423	1638
465	1426	1634
466	1428	1630
467	1432	1627
468	1434	1624
469	1437	1620
470	1439	1616
471	1441	1612
472	1443	1608
473	1446	1604
474	1448	1601
475	1450	1597
476	1453	1593
477	1455	1589
478	1457	1585
479	1460	1581
480	1463	1578
481	1466	1575
482	1470	1573
483	1472	1570
484	1475	1566
485	1478	1564
486	1481	1560
487	1484	1557
488	1487	1554
489	1490	1550
490	1493	1548
491	1496	1545
492	1499	1542
493	1502	1539
494	1505	1535
495	1508	1532
496	1510	1528
497	1513	1525
498	1516	1522
499	1518	1518
500	1521	1515
501	1524	1512
502	1527	1508
503	1530	1505
504	1532	1502
505	1535	1498
506	1537	1494
507	1539	1491
508	1542	1487
509	1545	1484
510	1548	1481
511	1550	1477
512	1552	1473
513	1555	1470
514	1556	1466
515	1559	1462
516	1561	1458
517	1563	1454
518	1566	1451
519	1569	1448
520	1572	1445
521	1575	1442
522	1577	1438
523	1579	1434
524	1581	1431
525	1584	1427
526	1587	1424
527	1590	1421
528	1592	1417
529	1595	1414
530	1598	1411
531	1601	1408
532	1603	1404
533	1604	1400
534	1606	1396
535	1608	1392
536	1609	1388
537	1611	1384
538	1613	1380
539	1615	1376
540	1617	1372
541	1619	1368
542	1621	1364
543	1622	1360
544	1624	1356
545	1626	1352
546	1628	1348
547	1630	1344
548	1632	1341
549	1634	1337
550	1636	1333
551	1638	1329
552	1639	1325
553	1641	1321
554	1644	1318
555	1648	1316
556	1651	1313
557	1654	1310
558	1657	1307
559	1659	1303
560	1662	1300
561	1665	1297
562	1667	1294
563	1669	1290
564	1672	1287
565	1675	1284
566	1679	1282
567	1681	1279
568	1684	1275
569	1686	1272
570	1689	1269
571	1693	1267
572	1695	1263
573	1698	1260
574	1701	1257
575	1704	1254
576	1708	1252
577	1710	1249
578	1712	1245
579	1715	1242
580	1718	1239
581	1721	1236
582	1724	1233
583	1726	1230
584	1729	1226
585	1732	1224
586	1735	1220
587	1738	1218
588	1741	1215
589	1744	1212
590	1747	1209
591	1749	1205
592	1752	1202
593	1754	1199
594	1757	1196
595	1759	1192
